facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
BT241067,Mwaiwathu,South East Zone,NA,Hospital,-15.78547,35.01691,393751,879522
TH311068,Mwalanthunzi,South East Zone,NA,Clinic,-16.06408,35.106607,35775,136432
LL041069,Yankho,Centrals West Zone,NA,Clinic,-14.25007,33.7767,47794,139697
BT241070,Banja Clinic,South East Zone,NA,Clinic,-15.762,34.9797,214354,654156
CK271071,Mwanawanjovu,South East Zone,NA,Clinic,-16.515473,35.029718,20991,52868
CK271072,Mwanayaya,South East Zone,NA,Health Post,-16.164028,34.940736,18209,78035
ZA231073,Mwandama,South West Zone,NA,Health Centre,-15.49803,35.18803,24365,92416
PH221074,Mwanga,South West Zone,NA,Health Centre,-15.64601,35.532758,19842,89864
DA021075,Mwangala,Central East Zone,NA,Health Centre,-13.487476,33.92326,15446,70981
CR261076,DAPP,South East Zone,NA,Health Post,-15.657096,35.200483,37306,138927
NK101077,Mwasambo,Central East Zone,NA,Health Centre,-13.3066933,34.118526,19269,45864
NK101078,Mwansambo Private Clinic,Central East Zone,NA,Clinic,-13.227,34.297332,23017,56992
MW281079,Banja la mtsogolo,South East Zone,NA,Clinic,-15.59747,34.51505,43198,81551
CK271080,Mwanza,South East Zone,NA,Clinic,-15.5991687,34.5171667,42508,81347
MW281081,Mwanza District Hospital,South East Zone,NA,District Hospital,-15.59118,34.50998,44798,82304
MC011082,Mwase,Centrals West Zone,NA,Clinic,-13.474622,32.859528,6981,24759
MG201083,Chiunda Clinic,South West Zone,NA,Health Post,-14.755091,35.112111,9800,63003
KU071084,Mwatitha,Central East Zone,NA,Clinic,-13.43552,33.3898,17572,52891
KB051085,Mwaya,North Zone,NA,Dispensary,-11.97658,34.07603,12148,29370
RU141087,mwazisi,North Zone,NA,Health Centre,-10.94356,33.5792,7137,20643
LL041088,Mwenyekonde,Centrals West Zone,NA,Dispensary,-14.00775,33.81726,571596,915402
BK171089,Mwima,South West Zone,NA,Health Centre,-14.92967,35.18498,18193,76157
MZ161090,Mzalangwe,North Zone,NA,Health Centre,-11.61228,33.5651,9532,29365
NT121091,Mzama,Centrals West Zone,NA,Health Centre,-14.89375,34.58597,11676,33531
MZ161092,Mission,North Zone,NA,Hospital,-11.4276539,33.450285,13632,45596
NT081093,Mzandu,Central East Zone,NA,Health Centre,-13.48916,34.02738,15237,48519
KB051094,Mzenga,North Zone,NA,Health Centre,-11.73249,34.07401,6191,21326
