facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
120428-8,Ukhwi Health Post,Kgalagadi North,NA,Health Post,-23.5587177,20.4979214,105,286
802310-3,Moselebe Health Post,Kgalagadi North,NA,Health Post,-24,21.75,678,1192
356085-1,Hunhukwe Health Post,Kgalagadi North,NA,Health Post,-23.410566,21.602215,270,503
432283-0,Pitsane Clinic,Goodhope,NA,Clinic,-25.473131,25.596487,13811,22308
455460-6,Mmathethe Clinic,Goodhope,NA,Clinic with Maternity,-25.321281,25.272177,2712,5773
894895-2,Mabule Clinic,Goodhope,NA,Clinic with Maternity,-25.768064,24.560831,871,1663
977671-7,Hebron Clinic,Goodhope,NA,Clinic with Maternity,-25.65551,25.40113,2722,8689
227847-1,Metlobo Clinic,Goodhope,NA,Clinic,-25.424442,24.964815,681,1735
975887-1,Ramatlabama Clinic,Goodhope,NA,Clinic,-25.634124,25.38418,2434,9403
965830-3,Tshidilamolomo Clinic,Goodhope,NA,Clinic,-25.810391,24.686555,460,1164
399845-7,Ditlharapa Health Post,Mabutsane,NA,Health Post,-25.691169,25.388213,2341,6285
765941-0,Gathwane Health Post,Goodhope,NA,Health Post,-25.38968,25.502582,2203,13223
515196-4,Mmakgori Health Post,Goodhope,NA,Health Post,-25.81427,24.80021,516,1343
381272-4,Mokgomane Health Post,Goodhope,NA,Health Post,-25.55845,25.239104,982,4164
244463-6,Rakhuna Health Post,Goodhope,NA,Health Post,-25.559875,25.580468,3750,16547
842218-0,Sekhutlhane Health Post,Goodhope,NA,Health Post,-25.61147,24.560621,687,1694
828861-5,Metlojane Health Post,Goodhope,NA,Health Post,-25.53896,25.36968,3960,18573
844338-4,Tsopeng Clinic,Lobatse,NA,Clinic with Maternity,-25.227739,25.677389,67060,97855
562246-9,Peleng Central Clinic,Lobatse,NA,Clinic,-25.2286915,25.6775413,66908,97806
553731-1,Woodhall Clinic,Lobatse,NA,Clinic,-25.20459,25.68614,67508,96839
889476-8,Mogobane Clinic,South East,NA,Clinic with Maternity,-24.980998,25.697681,13718,43487
