facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
20/15/1/1/1/0041,Tunas Primary Health Care Clinic,Katsina,Ingawa,Primary,12.6591818796,8.14808363757,31339,112535
20/15/1/1/1/0007,Bidare Health Post,Katsina,Ingawa,Primary,12.5069084204,8.13280741291,13437,58399
20/23/1/1/1/0010,Kofa Health Post,Katsina,Kusada,Primary,12.4481423825,7.88330837134,19849,92953
20/09/1/1/1/0056,Gidan Jajaye Health Clinic,Katsina,Danja,Primary,11.3502565942,7.63543435787,34054,135680
20/22/1/1/1/0060,Tudawa Health Clinic,Katsina,Kurfi,Primary,12.6053399999,7.6202469998,27914,98647
20/26/1/1/1/0036,Makau Primary Health Center,Katsina,Mani,Primary,12.7539139999,8.01570000049,19976,129943
20/33/1/1/1/0030,Rade Health Center,Katsina,Sandamu,Primary,12.87749,8.31476,49408,202646
20/13/1/1/1/0059,Unguwar Namande Health Post,Katsina,Faskari,Primary,11.5992230003,7.09958000003,9345,45004
20/03/1/1/1/0023,Garin Labo Maternity and  Child Health Clinic,Katsina,Batsari,Primary,12.8251160003,7.16227199963,11792,54329
20/13/1/1/1/0036,Shawu Health Clinic,Katsina,Faskari,Primary,11.7710690001,7.19891199952,8701,52907
20/07/1/1/1/0068,Farwa Health Clinic,Katsina,Dan Musa,Primary,12.2605949997,7.22555999963,16139,59135
20/08/1/1/1/0047,Gyazama Health Clinic,Katsina,Dandume,Primary,11.4424779998,7.26400899975,51501,166083
20/19/1/1/1/0065,Yartsamiyar Sarki Health Post,Katsina,Kankara,Primary,12.0935550002,7.26574599993,11450,41644
20/13/1/1/1/0024,Kwai Health Clinic,Katsina,Faskari,Primary,11.7447630002,7.27285999977,19504,64960
20/14/1/1/1/0030,Kwana Guga Health Post,Katsina,Funtua,Primary,11.5623430003,7.29537200006,96940,260916
20/32/1/1/1/0029,Tsakiya Health Clinic,Katsina,Safana,Primary,12.5486770004,7.34774099965,17291,71685
20/32/1/1/1/0004,Dagarawa Health Clinic,Katsina,Safana,Primary,12.5292080002,7.38248800026,14980,71717
20/19/1/1/1/0073,Mararrabar Gurbi Health Clinic,Katsina,Kankara,Primary,11.9570680005,7.42333400001,49611,117752
20/12/1/1/1/0031,Sabon Garin Safara Health Post,Katsina,Dutsin-Ma,Primary,12.4156660001,7.42602699984,46192,170571
20/19/1/1/1/0025,Janruwa Health Clinic,Katsina,Kankara,Primary,11.9099990005,7.4861629997,29714,123865
20/19/1/1/1/0057,Masurari Health Clinic,Katsina,Kankara,Primary,12.0177949997,7.48865300039,20186,69260
20/01/1/1/2/0003,Unguwar Fillo Ecwa Health Clinic,Katsina,Bakori,Primary,11.5359750004,7.54289400024,29544,92758
20/25/1/1/1/0006,Burdugau Health Center,Katsina,Malumfashi,Primary,11.78494,7.47682,17057,98371
20/25/1/1/1/0042,Zangon Borindawa Health Clinic,Katsina,Malumfashi,Primary,11.80938,7.68417,23012,132081
20/06/1/1/1/0030,Kadanya Health Clinic,Katsina,Charanchi,Primary,12.3814749998,7.69426800009,16473,66004
20/06/1/1/1/0028,Hanaye Health Clinic,Katsina,Charanchi,Primary,12.7039109999,7.69926500049,36252,154218
20/06/1/1/1/0006,Baran Gizo Health Clinic,Katsina,Charanchi,Primary,12.442526000300001,7.70633300029,19134,97375
20/06/1/1/1/0045,Mazaga Health Clinic,Katsina,Charanchi,Primary,12.6659020001,7.70756600013,58374,152416
20/29/1/1/1/0057,Yarkirgi Health Clinic,Katsina,Musawa,Primary,12.0530859997,7.7624160004,16907,87889
