facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
1108,Sikweya Health Post,Southern,Kalomo,Health Post,-17.18205007,26.6990133,1250,5647
2511,Luwi Mission Hospital,North-Western,Mwinilunga,2nd Level Hospital,-12.391262,24.943367,1328,4409
1219,Pemba Main Rural Health Centre,Southern,Pemba,Health Centre,-16.52023905,27.36507948,15710,27763
3800,Sichobo Rural Health Center,Central,Shibuyunji,Health Centre,-15.4716,27.7745,4116,14286
3114,Mukashichimbwe Health Post,Central,Chibombo,Health Post,-14.86609,27.332913,1599,6666
4447,Chainama Staff/Student Clinic,Lusaka,Lusaka,General clinic,-15.3898,28.3553,506475,1641294
4379,A-T Dental Surgery Limited,Lusaka,Lusaka,Dental clinic,-15.3869967,28.3395941,576509,1946804
2654,Mwinilunga District Hospital,North-Western,Mwinilunga,1st Level Hospital,-11.738009,24.43008,6585,13052
2941,Musambeshi Health Post,Luapula,Kawambwa,Health Post,-9.701134,29.359571,1072,5499
3276,Munyumbwe Rural Health Centre,Southern,Gwembe,Health Centre,-16.64636189,27.77724674,8027,15924
1429,Sinungu Rural Health Centre,Western,Nalolo,Health Centre,-15.8044,23.034300000000002,1566,5549
2961,Chabilikila Rural Health Center,Luapula,Nchelenge,Health Centre,-9.54871,28.73623,7749,24207
3013,Kafutuma Rural Health Center,Luapula,Nchelenge,Health Centre,-9.24168,28.80732,9028,29631
4113,Mwenye Health Post,Copperbelt,Ndola,Health Post,-13.003976,28.590587,107871,385378
1726,Mwanambuyu Rural Health Centre,Western,Kaoma,Health Centre,-14.92028,24.02038,814,3075
3269,Gwembe District Hospital,Southern,Gwembe,1st Level Hospital,-16.49753356,27.60086887,3537,10240
3931,Mwanga Health Post,Muchinga,Nakonde,Health Post,-9.308936,32.35361,3902,14215
3632,Ikelenge Rural Health Centre,North-Western,Ikelenge,Health Centre,-11.2401,24.2728,3347,10422
2598,Kazembe Rural Health Centre,Eastern,Lumezi,Health Centre,-12.175297,32.563558,516,2066
3861,Ntoto Health Post,Luapula,Nchelenge,Health Post,-9.2317127060029,28.807858125,8652,27813
1910,Kasimba Rural Health Centre,Western,Kaoma,Health Centre,-14.234,24.966,1991,5008
2596,Saint Johns Medical Center,North-Western,Solwezi,Health Centre,-12.180471,26.423964,47646,98992
3247,Khuli-khuli Health Post,Eastern,Chasefu,Health Post,-11.5516,33.038,1006,3811
3271,Siabbamba Health Post,Southern,Gwembe,Health Post,-16.88182073,27.66177982,1091,4147
4457,Mwanamuzya Health Post,Southern,Siavonga,Health Post,-16.1936,28.2113,1414,6761
2338,Sote Health Post,Central,Serenje,Health Post,-12.935485,30.726086,1091,3958
1591,Kanyama First Level  hospital,Lusaka,Lusaka,1st Level Hospital,-15.283,28.2513,57373,640387
4209,Chimanga Health Centre,Lusaka,Lusaka,Health Centre,-15.4235753,28.3071378,595131,2298565
4448,Packijax Medical Centre,Lusaka,Lusaka,Health Centre,-15.453295,28.264671,635476,1760005
3853,Chimbofuma Health Post,Copperbelt,Mpongwe,Health Post,-13.648431,27.548483,723,2915
1600,Kasisi Rural Health Center,Lusaka,Chongwe,Health Centre,-15.2671,28.4728,7132,41099
2097,Chilese Rural Health Center,Copperbelt,Masaiti,Health Centre,-13.555567,28.671717,2016,7852
2292,Chingi Health Post,North-Western,Chavuma,Health Post,-13.001979,22.726269,3442,10924
3006,Kashikishi Hospital Affiliated Health Center,Luapula,Nchelenge,Health Centre,-9.31805,28.74944,29921,43789
4119,Mpola  Rural Health Post,North-Western,Ikelenge,Health Post,-11.1456,24.1631,6551,15848
4120,Katooka Health Post,North-Western,Ikelenge,Health Post,-11.273,24.2211,2352,10572
1781,Mangango Mission Hospital,Western,Kaoma,1st Level Hospital,-14.6446,24.463836,1369,4371
3922,Chambeshi Health Post,Muchinga,Kanchibiya,Health Post,-10.993575775809,31.11498703125,2135,6412
2369,Chasera Health Post,Eastern,Lumezi,Health Post,-12.849368,32.168201,1078,3686
4118,Munyumbwe Level 1 Hospital,Southern,Gwembe,1st Level Hospital,-15.456396,28.252125,562847,1637104
3059,Kapembwa Health Post,Northern,Mpulungu,Health Post,-8.617938,30.839833,597,2339
4241,Kapaso Health Post,Muchinga,Kanchibiya,Health Post,-11.3658,30.33333,1132,3996
2130,Butikili Health Post,Copperbelt,Mpongwe,Health Post,-13.426881,28.384305,2708,11778
1245,Mwanamwalye Rural Health Centre,Western,Senanga,Health Centre,-16.4075,24.0092,131,502
3206,Shiwang`andu Urban Health Centre,Muchinga,Shiwang'andu,Health Centre,-11.2222,31.82748,1893,4844
2593,Solwezi General Hospital,North-Western,Solwezi,2nd Level Hospital,-12.182919,26.421593,48171,97512
1253,Ngundi Health Post,Western,Senanga,Health Post,-16.0313,23.454,1451,4061
3795,Mukulaikwa Rural Health Center,Central,Shibuyunji,Health Centre,-15.2671,27.7176,6874,18029
3027,Kasumpa Health Post,Luapula,Nchelenge,Health Post,-9.10994,28.798,0,4167
1959,St. Francis Mission Hospital,Eastern,Katete,2nd Level Hospital,-14.06451,32.015472,34144,64494
4036,Mukenge Health Post,North-Western,Zambezi,Health Post,-13.526989957442,23.1389128125,4246,10353
3475,Lwatembo Health Post,Western,Mongu,Health Post,-15.260104,23.806276,464,2254
2523,Sandangombe Health Post,North-Western,Solwezi,Health Post,-12.3666067,26.3576318,3595,10184
2635,Chitungu Rural Health Centre,North-Western,Kalumbila,Health Centre,-11.950442,25.39926,1334,4297
1503,Kataba Rural Health Centre,Western,Nalolo,Health Centre,-15.4464,23.3343,786,4668
2006,Chimtende Rural Health Centre,Eastern,Katete,Health Centre,-13.9284,31.89202,3972,15690
1223,Choompa  Health Post,Southern,Pemba,Health Post,-16.5024749,27.49093786,3311,17751
1754,Kaoma District Hospital,Western,Kaoma,1st Level Hospital,-14.805248,24.798082,17665,28188
2136,Michinka Health Post,Copperbelt,Masaiti,Health Post,-13.414461,28.619352,1457,8099
2187,Kasamba Rural Health Centre,Copperbelt,Mpongwe,Health Centre,-13.262418,28.2618,994,4210
2901,Muyembe Rural Health Center,Luapula,Kawambwa,Health Centre,-9.992027,29.117268,2017,6238
2928,Kawambwa Hospital Affiliated Health Center,Luapula,Kawambwa,Health Centre,-9.79327,29.076635,14355,24613
1454,Kafue General Hospital,Lusaka,Kafue,2nd Level Hospital,-15.7346,28.17,36754,60036
4213,University of Zambia Clinic,Lusaka,Lusaka,Health Centre,-15.431438,28.30825,568177,2155357
1609,Namanongo Rural Health Post,Lusaka,Rufunsa,Health Post,-15.25141,29.07958,1274,4452
3064,Lunchinda Rural Health Centre,Luapula,Chienge,Health Centre,-8.50739,28.991,8622,23255
3636,Sachibondu  Rural Health Cenhtre,North-Western,Ikelenge,Health Centre,-11.5209,24.4645,1049,3812
4125,Chilenga Health Centre,North-Western,Zambezi,Health Centre,-13.761867846903,23.46850265625,1107,3304
3580,Mayankwa Rural Health Centre,Western,Lukulu,Health Centre,-14.434758,23.861663,1427,6179
2574,Mitukutuku Rural Health Centre,North-Western,Solwezi,Health Centre,-12.2481686,26.338734,4734,38602
1211,Sibalumbi Health Post,Southern,Pemba,Health Post,-16.55377492,27.45360796,2974,18961
1620,Maano Health Post,Lusaka,Chilanga,Health Post,-15.220353,27.510567000000002,2460,11369
1751,Kaoma Urban Health Centre,Western,Kaoma,Health Centre,-14.80513,24.79811,17654,28185
1181,Maziba Health Post,Western,Senanga,Health Post,-16.704788,23.664184,5382,12760
3527,Musipazi Rural Health Centre,Northern,Mbala,Health Centre,-8.681789,31.385084,3016,11245
2528,Kamsaro Health Post,Eastern,Lumezi,Health Post,-12.353461,33.033917,6662,22034
1428,Shembwe Health Post,Southern,Mazabuka,Health Post,-15.82088,27.65132,4842,30598
1983,Kwenje Health Post,Eastern,Katete,Health Post,-14.0142,31.5055,7070,26233
1468,Litoya Rural Health Centre,Western,Nalolo,Health Centre,-15.6581,23.3407,1172,3904
1613,Kanemela Health Post,Lusaka,Luangwa,Health Post,-15.244726,30.221261,1128,3270
1007,Katanshya Rural Health center,Luapula,Samfya,Health Centre,-11.4545,29.7216,2559,7480
3629,Yambeji  Rural Health Post,North-Western,Ikelenge,Health Post,-11.1753,24.1721,7054,16957
3772,Nshinso Rural Health Center,Central,Mkushi,Health Centre,-13.7752746,29.8195208,1009,3822
2042,Chipungo Rural Health Centre,Eastern,Chipata,Health Centre,-13.7569,32.4856,8673,28278
3631,Kawota  Hospital Affiliated Health   Centre,North-Western,Ikelenge,Health Centre,-11.1763,24.1883,7002,17323
4128,Chikoyi Peri Urban Health Centre,Northern,Luwingu,Health Centre,-10.2697,29.9279,5483,12994
4454,Kanyemba,Luapula,Mwense,Health Post,-10.399526,28.663311,9093,25391
3435,Kampumbu Rural Health Centre,Muchinga,Isoka,Health Centre,-10.2535,33.0048,2279,7261
3621,Salujinga  Rural Health Centre,North-Western,Ikelenge,Health Centre,-10.9684,24.12311,782,2758
1128,Lutwa Health Post,Southern,Sinazongwe,Health Post,-17.03736568,27.60037039,1960,5378
4455,Zambia Army Health Post,Southern,Choma,Health Post,-16.7972784,27.0033044,90086,127404
3839,Mupambe Health Post,Copperbelt,Mufulira,Health Post,-12.540023,28.273207,57736,126894
1425,Itebe Rural Health Centre,Southern,Mazabuka,Health Centre,-15.829102,27.551229,1938,7673
1979,Kamphambe Rural Health Centre,Eastern,Katete,Health Centre,-14.023,32.15866,4581,23493
1142,Siamuleya Rural Health Centre,Southern,Pemba,Health Centre,-16.949855,27.32786667,1416,5603
2579,Kakombe Rural Health Centre,North-Western,Solwezi,Health Centre,-12.2271461,26.6878972,1671,5957
2929,Shibwalya Kapila Rural Health Centre,Northern,Lunte,Health Centre,-9.786871,30.800516,1393,5779
1254,Nalwashi Rural Health Centre,Western,Sioma,Health Centre,-16.3837,23.1007,1034,4099
1734,Kahare Rural Health Centre,Western,Nkeyema,Health Centre,-14.875053,25.193777,3642,10734
2149,St Theresa Mission Hospital,Copperbelt,Mpongwe,1st Level Hospital,-13.3539437,28.4194136,6632,14755
2176,Mupapa Rural Health Center,Copperbelt,Masaiti,Health Centre,-13.29145,28.700883,2583,11381
3433,Shem Rural Health Centre,Muchinga,Nakonde,Health Centre,-9.528235,32.901878,1836,7345
3623,Muzeya Rural Health  Post,North-Western,Ikelenge,Health Post,-11.0559,24.17568,1593,6432
4291,Baba Medical Centre,Lusaka,Lusaka,General clinic,-15.399211200615,28.25854171875,858332,2263749
4547,Health Esprit,Lusaka,Lusaka,Physiotherapy,-15.4106732,28.3851706,272705,1012641
4060,Mwandasengo Health Post,Western,Luampa,Health Post,-14.9211,24.4711,1422,5579
4490,Lupende,Luapula,Mansa,Health Post,-11.13135,29.202807,1799,7345
3253,Boyole Health Post,Eastern,Chasefu,Health Post,-12.11295,33.08224,3878,17535
2128,Kanyenda Rural Health Centre,Copperbelt,Mpongwe,Health Centre,-13.4349534,28.2378302,2561,9158
1388,Musangu Health Post,Southern,Mazabuka,Health Post,-15.92190687,28.03526438,3712,21211
1960,Chadiza District Hospital,Eastern,Chadiza,1st Level Hospital,-14.061831,32.422264,11311,28559
1118,Nyawa Rural Health Centre,Southern,Kazungula,Health Centre,-17.1013,25.539,272,1254
1743,Kasabi Rural Health Centre,Western,Kaoma,Health Centre,-14.8613,23.76552,615,2171
