facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
13488,Asumbi Mission Hospital,Homa Bay,NA,Primary care hospitals,-0.62079,34.61453,42635,168107
26668,St.Lawrence Hospital (Rangwe),Homa Bay,NA,Primary care hospitals,-0.59654,34.59108,38176,151806
20171,Esikulu Dispensary,Busia,NA,Dispensary,0.412016,34.1945012,40217,214842
11274,Coast General Teaching And Referral Hospital (Chaani Outreach Centre),Mombasa,NA,Comprehensive Health Centre,-4.03181,39.62725,448833,1208585
30973,Miritinirail Health Care Limited,Mombasa,NA,Medical Clinic,-4.0043998,39.5756402,170062,540442
23956,Medicross Kenya,Narok,NA,Medical Clinic,-1.0896577,35.8754171,53778,75577
23703,Narok Medical Care Clinic,Narok,NA,Medical Clinic,-1.0880277,35.8764396,53708,75730
27900,Omoya Medical Centre,Homa Bay,NA,Medical Clinic,-0.53539,34.54253,32608,164356
19710,Universal Medical Clinic (Nyeri North),Nyeri,NA,Medical Clinic,-0.15531,37.08035,15212,48923
18023,Ichuga Medical Clinic,Nyeri,NA,Medical Clinic,-0.00568,37.06206,71842,116969
19644,Kims Medical Clinic,Nyeri,NA,Medical Clinic,-0.41908,37.15629,40635,153838
22692,Cieni Dispensary,Nyeri,NA,Dispensary,-0.388195,37.0432667,30493,138126
10198,Gadi Medical Clinic,Nyeri,NA,Medical Clinic,-0.48045,37.12251,77195,211009
24086,Health Choice Medical Clinic,Nyeri,NA,Medical Clinic,-0.479697,37.0844,65102,215729
10108,Diana Medical Clinic,Nyeri,NA,Medical Clinic,-0.13316,37.094,8485,44319
24714,Muthoni Medical Clinic,Nyeri,NA,Medical Clinic,-0.401295,37.073967,34605,138169
10435,Kaiyaba Dispensary,Nyeri,NA,Dispensary,-0.474417,37.086825,65979,213050
11124,Tumutumu (Pcea) Hospital,Nyeri,NA,Primary care hospitals,-0.48549,37.07946,58429,218938
17572,Kwa lydia  Medical Clinic,Nyeri,NA,Medical Clinic,-0.17129,37.02035,21536,47588
25774,Rose Care Medical Clinic,Nyeri,NA,Medical Clinic,-0.0618202,37.0425497,11923,82319
27665,Nyeri Audio Center,Nyeri,NA,Medical Clinic,-0.4223269,36.9534549,99730,214924
28350,Outspan Hospital Town Clinic,Nyeri,NA,Medical Clinic,-0.4227646,36.9535383,99996,215392
28396,Carpa Medical Center,Nyeri,NA,Medical Clinic,-0.4637461,37.0318147,46438,237528
24902,Phense  Medical Clinic,Nyeri,NA,Medical Clinic,-0.4601428,37.0029567,59165,245177
19805,Remedy Medical \u0026 Diagnostic Center,Nyeri,NA,Medical Clinic,-0.42216,36.94853,100041,213465
10200,Gakawa Dispensary,Nyeri,NA,Dispensary,-0.01878,37.06419,58063,115158
10722,Mere Dispensary,Nyeri,NA,Dispensary,-0.23905,37.12575,12797,42114
10447,Kamburaini Dispensary,Nyeri,NA,Dispensary,-0.20607,37.09823,14448,54101
10427,Kahuru Dispensary (Nyeri North),Nyeri,NA,Dispensary,-0.45692,37.16091,64333,208534
10220,Gatina Dispensary,Nyeri,NA,Dispensary,-0.54653,37.14537,42111,201928
17615,Kawauni Dispensary,Machakos,NA,Dispensary,-1.31442,37.39991,43566,168817
27279,Mbusyani Dispensary-Kangundo,Machakos,NA,Dispensary,-1.3793199,37.3282204,52336,195721
16440,Sengani Health Centre,Machakos,NA,Comprehensive Health Centre,-1.25014,37.32333,69432,165269
17611,Kyevaluki Dispensary,Machakos,NA,Dispensary,-1.39591,37.34822,45825,184014
10360,Itiati Dispensary,Nyeri,NA,Dispensary,-0.41392,37.108795,41771,158687
12477,Masongaleni Health Centre,Makueni,NA,Basic Health Centre,-2.40053,38.1213,7313,27695
11136,Unjiru Health Centre,Nyeri,NA,Basic Health Centre,-0.49303,36.96518,56076,268980
10251,Gichira Health Centre,Nyeri,NA,Basic Health Centre,-0.48451,37.00865,52258,252063
20950,Githakwa Dispensary,Nyeri,NA,Dispensary,0.46574,36.90162,1740,8148
11161,Wamagana Health Centre,Nyeri,NA,Basic Health Centre,-0.47711,36.93342,61866,253886
20951,Hubuini Dispensary,Nyeri,NA,Dispensary,0.48889,36.858,1150,6411
24054,Community Medical Clinic,Nyeri,NA,Medical Clinic,-0.4932707,36.9424529,56586,263679
24055,Royal Cns,Nyeri,NA,Medical Clinic,-0.4752606,36.9750184,67595,262584
10483,Karangia Medical Clinic,Nyeri,NA,Medical Clinic,-0.4752606,36.9750184,67595,262584
16967,Kyenzenzeni Dispensary,Makueni,NA,Dispensary,-1.81774,37.45942,28715,112485
16965,Kyau Dispensary,Makueni,NA,Dispensary,-1.79238,37.5228,17817,82616
16961,Kaia Dispensary,Makueni,NA,Dispensary,-1.74983,37.34643,29588,102508
16959,Kithuni Dispensary,Makueni,NA,Dispensary,-1.74712,37.3756,28120,119451
20804,Kiteng'Ei Dispensary,Makueni,NA,Dispensary,-2.54927,38.13892,11150,44866
16957,Itithini Dispensary,Makueni,NA,Dispensary,-1.7266,37.54733,20931,81923
16958,Ikalyoni Dispensary,Makueni,NA,Dispensary,-1.79243,37.4961,17439,96601
21028,Tharaka Nithi County Beyond Zero Mobile Clinic,Tharaka Nithi,NA,Dispensary,-0.33192,37.870058,12916,45858
20559,Kangutu Dispensary,Tharaka Nithi,NA,Dispensary,-0.33798,37.68546,57432,168291
21844,Kamonka Dispensary,Tharaka Nithi,NA,Dispensary,-0.30837,37.848054,15059,51003
20930,Kivaa Alpha Medical Cente,Machakos,NA,Medical Clinic,-0.94081,37.67563,8869,30269
20929,Alpha Medical Centre-Kaewa,Machakos,NA,Medical Center,-0.93971,37.6759,8891,30364
13962,Ogande Dispensary,Homa Bay,NA,Dispensary,-0.58832,34.50667,36882,168826
11996,Ekalakala Medical Clinic,Machakos,NA,Medical Clinic,-0.97082,37.47354,13613,46082
20928,Kivaa Medical Clinic,Machakos,NA,Medical Clinic,-0.85569,37.69575,6159,25325
20931,Kaewa Live Care Clinic,Machakos,NA,Medical Clinic,-0.94071,37.67596,8865,30245
26917,Mituki Medical Clinic-Ekalakala,Machakos,NA,Medical Clinic,-0.96783,37.48431,13284,43232
12650,Ngetani Dispensary,Machakos,NA,Dispensary,-0.87478,37.61765,9110,28824
12237,Kathukini Dispensary,Machakos,NA,Dispensary,-0.99081,37.41151,18364,72926
12136,Kakongo Dispensary,Machakos,NA,Dispensary,-1.01172,37.54335,10498,45437
12009,Endei Dispensary,Machakos,NA,Dispensary,-0.95002,37.8116,5493,20069
12103,Iuuma Dispensary,Machakos,NA,Dispensary,-0.90371,37.79938,5088,19526
18245,Ndela Dispensary,Machakos,NA,Dispensary,-0.84698,37.27391,21245,81414
30183,Dantez Medical Centre,Machakos,NA,Medical Clinic,-1.3945648,36.941538,55553,333462
12765,St Marys Nguviu Dispensary,Embu,NA,Dispensary,-0.43103,37.44415,55142,190579
19225,CFW Mbuvori Clinic,Embu,NA,Medical Clinic,-0.38943,37.46371,52205,146077
19226,Nguviu Boys High School Clinic,Embu,NA,Dispensary,-0.43427,37.43102,49483,185514
11966,CFW Kimangaru Clinic,Embu,NA,Medical Clinic,-0.54506,37.53009,24793,155884
21703,Utugi Cfw Clinic,Embu,NA,Medical Clinic,-0.47256,37.44093,55465,241477
12226,Kathanje Dispensary,Embu,NA,Dispensary,-0.62169,37.72175,8281,47419
19223,Aga Khan University Hospital - Embu,Embu,NA,Medical Clinic,-0.53674,37.4517,78815,184990
12185,Kanyuambora Dispensary,Embu,NA,Dispensary,-0.46412,37.72055,21638,82068
12833,Utugi Medical Clinic,Embu,NA,Medical Clinic,-0.62151,37.5343,12898,55523
